time,open,high,low,close,tick_volume,spread,real_volume,MACD,Alligator_Jaw,Alligator_Teeth,Alligator_Lips
2022-01-10 05:00:00,1794.95,1796.16,1793.7,1794.44,3431,5,0,2629.27,2629.27,2629.27,2629.27
2022-01-10 06:00:00,1794.42,1794.43,1791.69,1792.09,2647,5,0,2628.17,2628.17,2628.17,2628.17
2022-01-10 07:00:00,1792.09,1793.33,1791.9,1792.51,1096,5,0,2627.96,2627.96,2627.96,2627.96
2022-01-10 08:00:00,1792.51,1794.27,1791.47,1793.13,2028,5,0,2627.32,2627.32,2627.32,2627.32
2022-01-10 09:00:00,1793.11,1793.7,1792.0,1793.18,2282,5,0,2626.26,2626.26,2626.26,2626.26
2022-01-10 10:00:00,1793.02,1795.66,1791.35,1793.65,3712,5,0,2628.4,2628.4,2628.4,2628.4
2022-01-10 11:00:00,1793.64,1796.5,1792.16,1796.41,4903,5,0,2627.47,2627.47,2627.47,2627.47
2022-01-10 12:00:00,1796.42,1797.96,1795.93,1796.78,4154,5,0,2626.32,2626.32,2626.32,2626.32
2022-01-10 13:00:00,1796.85,1800.7,1796.54,1799.73,4342,5,0,2625.16,2625.16,2625.16,2625.16
2022-01-10 14:00:00,1799.73,1802.32,1798.82,1800.57,4100,5,0,2629.1,2629.1,2629.1,2629.1
2022-01-10 15:00:00,1800.54,1801.37,1791.48,1791.93,6169,5,0,2628.89,2628.89,2628.89,2628.89
2022-01-10 16:00:00,1791.92,1797.23,1791.53,1793.0,9059,5,0,2634.02,2634.02,2634.02,2634.02
2022-01-10 17:00:00,1792.97,1796.35,1790.36,1794.23,10123,5,0,2638.09,2638.09,2638.09,2638.09
2022-01-10 18:00:00,1794.23,1795.93,1791.51,1793.44,8910,5,0,2625.39,2625.39,2625.39,2625.39
2022-01-10 19:00:00,1793.46,1796.0,1793.32,1793.93,4961,5,0,2628.72,2628.72,2628.72,2628.72
2022-01-10 20:00:00,1793.93,1800.06,1793.39,1799.38,4946,5,0,2628.91,2628.91,2628.91,2628.91
2022-01-10 21:00:00,1799.35,1801.39,1798.4,1800.22,4854,5,0,2629.04,2629.04,2629.04,2629.04
2022-01-10 22:00:00,1800.23,1801.62,1799.8,1800.9,3128,5,0,2630.77,2630.77,2630.77,2630.77
2022-01-10 23:00:00,1800.86,1801.49,1799.63,1800.96,3289,5,0,2633.35,2633.35,2633.35,2633.35
2022-01-11 00:00:00,1800.96,1801.88,1800.86,1801.69,1715,5,0,2626.4,2626.4,2626.4,2626.4
2022-01-11 02:00:00,1800.41,1802.84,1799.97,1801.26,1248,5,0,2633.16,2633.16,2633.16,2633.16
2022-01-11 03:00:00,1801.22,1804.67,1801.22,1802.73,1919,5,0,2634.87,2634.87,2634.87,2634.87
2022-01-11 04:00:00,1802.71,1805.97,1802.01,1804.9,4251,5,0,2643.5,2643.5,2643.5,2643.5
2022-01-11 05:00:00,1804.86,1806.35,1804.37,1805.17,2490,5,0,2642.9,2642.9,2642.9,2642.9
